Question,Expected_Source,Disease,Specialty,Difficulty
What is hypertension?,WHO,Hypertension,Cardiology,Easy
What are the symptoms of hypertension?,WHO,Hypertension,Cardiology,Easy
What is the normal blood pressure range?,WHO,Hypertension,Cardiology,Easy
What causes hypertension?,WHO,Hypertension,Cardiology,Medium
Who is at risk of developing hypertension?,WHO,Hypertension,Cardiology,Medium
How is hypertension diagnosed?,NICE,Hypertension,Cardiology,Medium
What lifestyle changes help control hypertension?,WHO,Hypertension,Cardiology,Easy
When should blood pressure medication be started?,NICE,Hypertension,Cardiology,Hard
What are the complications of uncontrolled hypertension?,WHO,Hypertension,Cardiology,Medium
How often should blood pressure be monitored?,WHO,Hypertension,Cardiology,Easy
What is coronary artery disease?,WHO,Cardiovascular Disease,Cardiology,Easy
What are the symptoms of a heart attack?,WHO,Heart Attack,Cardiology,Easy
What should be done during a suspected heart attack?,WHO,Heart Attack,Cardiology,Medium
What are the major risk factors for cardiovascular disease?,WHO,Cardiovascular Disease,Cardiology,Medium
What is the difference between systolic and diastolic blood pressure?,WHO,Hypertension,Cardiology,Easy
What are the warning signs of stroke related to hypertension?,WHO,Stroke,Cardiology,Medium
What medications are commonly used for hypertension?,NICE,Hypertension,Cardiology,Hard
What dietary changes reduce cardiovascular risk?,WHO,Cardiovascular Disease,Cardiology,Easy
How does smoking affect heart health?,WHO,Cardiovascular Disease,Cardiology,Easy
How does obesity increase cardiovascular disease risk?,WHO,Cardiovascular Disease,Cardiology,Medium
What is heart failure?,WHO,Heart Failure,Cardiology,Easy
What are the common symptoms of heart failure?,WHO,Heart Failure,Cardiology,Easy
What causes heart failure?,WHO,Heart Failure,Cardiology,Medium
How is heart failure diagnosed?,NICE,Heart Failure,Cardiology,Medium
How is heart failure treated?,NICE,Heart Failure,Cardiology,Hard
What is angina?,WHO,Angina,Cardiology,Easy
What are the symptoms of angina?,WHO,Angina,Cardiology,Easy
How is angina different from a heart attack?,WHO,Angina,Cardiology,Medium
What medications are commonly used to treat angina?,NICE,Angina,Cardiology,Hard
What is atrial fibrillation?,WHO,Atrial Fibrillation,Cardiology,Easy
What are the symptoms of atrial fibrillation?,WHO,Atrial Fibrillation,Cardiology,Easy
How is atrial fibrillation diagnosed?,NICE,Atrial Fibrillation,Cardiology,Medium
How is atrial fibrillation treated?,NICE,Atrial Fibrillation,Cardiology,Hard
What is high cholesterol?,WHO,High Cholesterol,Cardiology,Easy
Why is high cholesterol dangerous?,WHO,High Cholesterol,Cardiology,Easy
How can cholesterol levels be reduced?,WHO,High Cholesterol,Cardiology,Medium
What are statins and when are they prescribed?,NICE,High Cholesterol,Cardiology,Hard
What is an electrocardiogram (ECG)?,WHO,ECG,Cardiology,Easy
Why is an ECG performed?,WHO,ECG,Cardiology,Easy
What conditions can an ECG detect?,NICE,ECG,Cardiology,Medium
What is an echocardiogram?,WHO,Echocardiogram,Cardiology,Easy
When is an echocardiogram recommended?,NICE,Echocardiogram,Cardiology,Medium
How can heart disease be prevented?,WHO,Cardiovascular Disease,Cardiology,Easy
What are the warning signs of a stroke?,WHO,Stroke,Cardiology,Medium
How does regular exercise improve heart health?,WHO,Cardiovascular Disease,Cardiology,Easy
What foods support a healthy heart?,WHO,Cardiovascular Disease,Cardiology,Easy
What is coronary angiography?,NICE,Coronary Artery Disease,Cardiology,Hard
How is coronary artery disease treated?,NICE,Coronary Artery Disease,Cardiology,Hard
What are the symptoms of peripheral artery disease?,WHO,Peripheral Artery Disease,Cardiology,Medium
How does diabetes increase the risk of heart disease?,WHO,Cardiovascular Disease,Cardiology,Medium
What is eczema?,NICE,Eczema,Dermatology,Easy
What are the symptoms of eczema?,NICE,Eczema,Dermatology,Easy
What causes eczema?,WHO,Eczema,Dermatology,Medium
How is eczema diagnosed?,NICE,Eczema,Dermatology,Medium
How is eczema treated?,NICE,Eczema,Dermatology,Hard
What triggers eczema flare-ups?,WHO,Eczema,Dermatology,Medium
What is psoriasis?,WHO,Psoriasis,Dermatology,Easy
What are the symptoms of psoriasis?,WHO,Psoriasis,Dermatology,Easy
How is psoriasis diagnosed?,NICE,Psoriasis,Dermatology,Medium
How is psoriasis treated?,NICE,Psoriasis,Dermatology,Hard
What is acne vulgaris?,WHO,Acne,Dermatology,Easy
What causes acne?,WHO,Acne,Dermatology,Easy
How is acne treated?,WHO,Acne,Dermatology,Medium
Can diet affect acne?,WHO,Acne,Dermatology,Medium
What is rosacea?,WHO,Rosacea,Dermatology,Easy
What are the symptoms of rosacea?,WHO,Rosacea,Dermatology,Easy
How is rosacea treated?,NICE,Rosacea,Dermatology,Medium
What is vitiligo?,WHO,Vitiligo,Dermatology,Easy
What causes vitiligo?,WHO,Vitiligo,Dermatology,Medium
How is vitiligo managed?,WHO,Vitiligo,Dermatology,Medium
What is a fungal skin infection?,WHO,Fungal Infection,Dermatology,Easy
What are the common symptoms of fungal skin infections?,WHO,Fungal Infection,Dermatology,Easy
How are fungal skin infections treated?,WHO,Fungal Infection,Dermatology,Medium
What is scabies?,WHO,Scabies,Dermatology,Easy
How does scabies spread?,WHO,Scabies,Dermatology,Medium
How is scabies treated?,WHO,Scabies,Dermatology,Medium
What is contact dermatitis?,WHO,Contact Dermatitis,Dermatology,Easy
What causes contact dermatitis?,WHO,Contact Dermatitis,Dermatology,Medium
How is contact dermatitis treated?,NICE,Contact Dermatitis,Dermatology,Medium
When should a suspicious mole be evaluated?,WHO,Skin Cancer,Dermatology,Hard
What is seborrheic dermatitis?,WHO,Seborrheic Dermatitis,Dermatology,Easy
What causes seborrheic dermatitis?,WHO,Seborrheic Dermatitis,Dermatology,Medium
How is seborrheic dermatitis treated?,WHO,Seborrheic Dermatitis,Dermatology,Medium
What is urticaria (hives)?,WHO,Urticaria,Dermatology,Easy
What causes urticaria?,WHO,Urticaria,Dermatology,Medium
How is urticaria treated?,WHO,Urticaria,Dermatology,Medium
What is impetigo?,WHO,Impetigo,Dermatology,Easy
How does impetigo spread?,WHO,Impetigo,Dermatology,Medium
How is impetigo treated?,WHO,Impetigo,Dermatology,Medium
What is cellulitis?,WHO,Cellulitis,Dermatology,Easy
What are the symptoms of cellulitis?,WHO,Cellulitis,Dermatology,Medium
How is cellulitis treated?,WHO,Cellulitis,Dermatology,Hard
What is shingles?,WHO,Shingles,Dermatology,Easy
What causes shingles?,WHO,Shingles,Dermatology,Medium
How is shingles treated?,WHO,Shingles,Dermatology,Medium
What is melanoma?,WHO,Melanoma,Dermatology,Easy
What are the warning signs of melanoma?,WHO,Melanoma,Dermatology,Hard
How can skin cancer be prevented?,WHO,Skin Cancer,Dermatology,Medium
What is alopecia areata?,WHO,Alopecia Areata,Dermatology,Easy
What causes alopecia areata?,WHO,Alopecia Areata,Dermatology,Medium
How is alopecia areata treated?,WHO,Alopecia Areata,Dermatology,Medium
What is ringworm?,WHO,Ringworm,Dermatology,Easy
How is ringworm diagnosed?,WHO,Ringworm,Dermatology,Medium
How is ringworm treated?,WHO,Ringworm,Dermatology,Medium
What is eczema herpeticum?,NICE,Eczema,Dermatology,Hard
What moisturizers are recommended for eczema?,NICE,Eczema,Dermatology,Easy
How should topical corticosteroids be used safely?,NICE,Eczema,Dermatology,Hard
When should a dermatologist be consulted for chronic skin disease?,WHO,Skin Disease,Dermatology,Medium
What are common symptoms of allergic skin reactions?,WHO,Allergic Skin Reaction,Dermatology,Easy
How can skin infections be prevented?,WHO,Skin Infection,Dermatology,Easy
What is triage in emergency care?,WHO,Emergency Triage,Emergency,Easy
What are the priority levels in emergency triage?,WHO,Emergency Triage,Emergency,Medium
When should someone visit the emergency department?,WHO,Emergency Care,Emergency,Easy
What are the signs of a medical emergency?,WHO,Emergency Care,Emergency,Easy
How should severe bleeding be controlled?,WHO,Bleeding,Emergency,Medium
What are the first steps in treating severe bleeding?,WHO,Bleeding,Emergency,Medium
What is shock?,WHO,Shock,Emergency,Easy
What are the symptoms of shock?,WHO,Shock,Emergency,Medium
How is shock treated in an emergency?,WHO,Shock,Emergency,Hard
What is anaphylaxis?,WHO,Anaphylaxis,Emergency,Easy
What are the symptoms of anaphylaxis?,WHO,Anaphylaxis,Emergency,Easy
