Test Name,Normal Range,Borderline Range,High Range,Critical Range,Unit,Age-specific Range,Gender-specific Range,Reference
CBC,4000-11000 cells/µL,11001-12000 cells/µL,12001-20000 cells/µL,>20000 cells/µL,cells/µL,Varies by age,Same for both,WHO
HbA1c,<5.7%,5.7-6.4%,≥6.5%,>10%,%,Adult,Same for both,ADA
Glucose (Fasting),70-99,100-125,126-200,>200,mg/dL,Adult,Same for both,ADA
Creatinine,0.6-1.3,1.31-1.5,1.51-2.5,>2.5,mg/dL,Age dependent,Male/Female differ,WHO
Hemoglobin,12-16 (F),11-11.9,16.1-18,<7,g/dL,Age dependent,Male/Female differ,WHO
Platelets,150000-450000,450001-500000,500001-700000,<50000,cells/µL,Same,Same,WHO
Vitamin D,30-100,20-29,<20,<10,ng/mL,Adult,Same,NICE
Vitamin B12,200-900,180-199,<180,<100,pg/mL,Adult,Same,WHO
TSH,0.4-4.0,4.1-5.0,>5.0,>10,mIU/L,Adult,Same,ATA
Lipid Profile,Normal,Borderline,High,Critical,mg/dL,Adult,Same,AHA
Liver Function,Normal,Slightly Elevated,Elevated,Critical,U/L,Adult,Same,WHO
Kidney Function,Normal,Mild Reduction,Moderate Reduction,Severe Reduction,mL/min/1.73m²,Adult,Same,KDIGO
